Components,Quantity,Price,Link
48 v 12 AH LiFePO BATTERY,1,8999,https://www.myinnovation.in/product-page/48v-12ah-ebike-e-scooty-toto-battery-lifepo4-lithium-iron-phosphet-battery?gad_source=1&gad_campaignid=19597394074&gbraid=0AAAAABThWGJElQ8uUcaWM0tGnKcF1I9qf&gclid=Cj0KCQjwucDBBhDxARIsANqFdr0S6Wj7SDCWFddSGNiYcyDcXJ27hDYHi3evJVGjFZ5PrOG2z5rZZUIaAko7EALw_wcB
Yalu 48V 1000W  MOTOR,1,7673,https://zbotic.in/product/brushless-dc-motor-bm1109-1000w-48v/?gad_source=1&gad_campaignid=20903026778&gbraid=0AAAAACTNRdU0ScSqIvodheY4fuWR73rot&gclid=Cj0KCQjwucDBBhDxARIsANqFdr25yDZJK58xrroigfDA5mLl6kzsJZoC4VNpQ7MMoi0npeHXi77Wy44aAnLaEALw_wcB
Square Steel 1x1,12 meter,600,
1 inch pipe,1 meter,50,
BLDC 48v motor 1000w controller,1,1570,https://robu.in/product/brushless-controller-for-1000w48v-bldc-motor/?gad_source=1&gad_campaignid=18585959909&gbraid=0AAAAADvLFWcwuSK7cm8ptepAzWnyXKeiv&gclid=CjwKCAjw3MXBBhAzEiwA0vLXQe6-A-AmxDLHbgFkHnM3IzJvFUkcRuQIx4AkMvZryKelwt0oG0o-FRoCwZMQAvD_BwE
Wheel and rim,4,1200,
brake,1,4700,
gokart Seat,1,2021,https://www.amazon.in/CALANDISTM-Replacement-Accessories-Go-Karts-Recreational/dp/B0F18T8WR4?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AH0KEO6T9U8SH
1 inch flatbar,14" long,50,
0.5 INCH Square Pipe,800mm long,50,
CHAIN Sprocket,1,700,https://vashiisl.com/products/hero-kit-chain-sprocket-20k110s?variant=48781482393831&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=22010817485&gbraid=0AAAAADLLIlO6ce8ykKXGACtvE3nLmmSmy&gclid=Cj0KCQjwucDBBhDxARIsANqFdr0cl_CMoIHC3OGdjcVSjLpP9wgQV5_AHvjxsNfVzQtBzQTMhgED_HkaAunOEALw_wcB
flange 1 inch,4,1600,https://www.amazon.in/MS-Oval-Flange-1-inch/dp/B0B7JQ3YHM
Steering wheel,1,1120,
pedal,1,900,
steel rod 1/2inch and 1 inch,300 mm,100,
